id,accommodates,latitude,longitude,kmeans_cluster,sub_cluster
A607365253103904668,1,34.1422,-118.61756,28,28
A607397461472884095,4,34.1508,-118.62539,28,28
A607466378898578258,6,34.43136,-118.54675,23,23
A607553279210667199,1,34.08519,-118.0879,22,22
A607575858688135045,6,34.19555,-118.3366,7,7
A607672134019854653,4,34.091053,-118.33596,21,21_2
A607834982518747666,10,33.930187,-118.031303,33,33
A607868053532284358,4,34.04379425830515,-118.25305357046824,9,9_5
A610217248916565072,2,34.08894,-118.27187,9,9_1
A610230366919769161,2,34.01989,-118.4006,4,4
A610255129704416830,4,33.96463,-118.11899,34,34
A610258527844255473,4,34.04695,-118.24963,9,9_0
A610324147530166422,2,34.01662,-118.49649,17,17_0
A610343615073415322,6,34.02135,-118.49813,17,17_0
A610414496675149993,5,34.62619,-118.16403,32,32
A610440996204979279,3,34.08155,-118.36616,0,0_3
A604359889264343820,7,33.736760255,-118.28260048,20,20
A604362620299948623,6,34.18223,-118.13846,31,31
A604392022098778127,10,33.97651,-117.87207,15,15
A604412891334971179,8,33.97825,-117.87358,15,15
A604418440643574035,2,34.25891712271492,-118.41833269738174,19,19
A610647779382514266,10,34.03200161597937,-118.44673186790855,29,29_0
A610666500252337896,2,34.01531,-118.49114,17,17_0
A610678850473911280,3,34.14672,-118.07757,31,31
A610792660252860686,1,34.10995,-118.23125,12,12
A610814569517138892,2,33.89084,-118.06401,34,34
A610862530261428840,4,34.15222,-118.2698,12,12
A610881513530663528,5,34.14302,-118.40175,19,19
A610977976452223260,1,33.894257,-118.020096,33,33
A607869812356427023,16,34.044178,-118.178774,6,6
A607881435194767553,5,33.88298,-118.07766,34,34
A607920821726282538,4,34.04075,-118.25828,9,9_5
A607969511943434838,2,33.82361,-118.3814,13,13
A608054622901060152,2,34.066662,-118.053871,1,1
A608063359705578182,2,34.05938,-118.43636,29,29_1
A608097281565141269,8,34.17281,-118.58693,28,28
A608116888903865593,1,33.96239,-118.38695,25,25_2
A608192016619276270,8,34.1091947,-118.3762504,0,0_0
A604437490918897082,2,34.14677,-118.01951,1,1
A604527812447487819,9,34.01276,-117.87778,15,15
A608193682365911732,4,34.13541,-118.18803,12,12
A608334008789162692,2,34.1366148,-118.3404939,7,7
A608600315737331286,6,34.0651,-118.21864,6,6
A608600471642059917,16,34.21839,-118.54386,3,3
A608617934689609628,2,34.07999,-118.37936,0,0_0
A608671116083966307,2,33.900677,-118.084709,34,34
A608695043032202572,6,34.16571,-118.60094,28,28
A608704488228402817,4,34.16162,-118.6164,28,28
A608704805695866830,2,34.0795783996582,-118.38038635253906,0,0_0
A610979993990596292,10,33.75664,-118.13305,2,2
A610992681029570842,4,33.77792,-118.16959,2,2
A611000610763580174,2,34.0811,-118.09498,22,22
A611005065188729891,10,34.08534,-118.29731,9,9_1
A611006799860666243,6,33.76645,-118.17506,2,2
A611094456327126098,3,34.123146,-118.075172,1,1
A611131417029870348,3,33.95259740625977,-118.22220575160536,18,18
A611525362091959913,10,34.1953,-118.63166,28,28
A604528810757327500,1,33.98994,-117.88627,15,15
A604623803642974688,3,34.18682,-118.35811,7,7
A608756039371413194,2,33.95507,-118.38371,25,25_2
A608757195659380717,4,34.08936,-118.27027,9,9_1
A608776473599671390,2,34.10652222736824,-118.33974284721872,21,21_3
A608779290032167050,8,34.178764,-118.515182,3,3
A608813562482280214,1,34.05666,-118.17389,6,6
A608844925394142311,10,33.87181,-118.40033,13,13
A608846249891345851,4,34.11781083661187,-118.22753442716918,12,12
A608854188337399753,2,34.05271,-118.34617,0,0_2
A608856883555226219,6,34.1331,-118.35696,7,7
A604627172991216148,12,33.85284,-118.3986,13,13
A604629512779774749,4,33.99759,-118.47918,17,17_1
A604633876366435237,1,33.75251,-118.31621,20,20
A604635411878842192,3,33.99548,-118.45023,17,17_2
A604643044849772539,2,33.99531,-118.4798,17,17_1
A604656859233289870,5,34.14283,-117.96532,1,1
A611572763687309144,8,34.06428,-118.12191,22,22
A611661027923294001,1,34.05904,-118.41008,0,0_1
A611672139105359152,6,33.83487,-118.38885,13,13
A611761264091669516,6,33.78905,-118.16646,2,2
A611833099279841313,6,34.437721,-118.556152,23,23
A611889148112351940,4,34.14163,-118.08012,31,31
A612190963195104302,13,34.04293,-117.87844,15,15
A612230719372976554,2,34.1258544921875,-118.26978302001952,12,12
A612257892542234065,2,33.99336,-117.88386,15,15
A608863704304315000,8,34.11687,-118.06898,1,1
A608867552316522464,3,34.11783,-118.0693,1,1
A608894620331027158,4,33.99888,-118.33389,27,27
A608910097968323857,4,34.155067,-118.258278,12,12
A608918083072985631,2,34.145,-118.39612,19,19
A608961271000259466,2,33.77378,-118.18094,2,2
A609249198756387410,3,34.05516,-118.25279,9,9_0
A609362752132132987,5,34.18746,-118.33254,7,7
A609398558662535387,2,34.08808,-118.3864,0,0_0
A612258786019690831,4,33.99321,-117.88368,15,15
A612294038660482539,5,34.09298,-117.98314,1,1
A612294790161389333,6,34.083746494217245,-118.36858154322702,0,0_3
A612319353539577172,6,33.75909094601481,-118.13388615846634,2,2
A612337259041998731,4,34.06377,-118.37643,0,0_3
A612360227485497003,2,34.09222,-118.38295,0,0_0
A612402707660622067,6,34.05343,-118.26493,9,9_5
A612424934010534591,4,34.00312681068723,-118.48000892029474,17,17_1
A612431975605426080,4,34.108337,-118.388344,0,0_0
A604843309130528327,4,34.01983,-118.39424,4,4
A604967320164368011,6,34.06555,-118.02562,1,1
A604998858779286857,4,34.03247,-118.19651,6,6
A609445120531492981,2,34.05841,-118.40907,0,0_1
A609454068541875179,8,34.0557,-118.04345,1,1
A609498769739408292,8,34.14604,-118.36445,7,7
A609515123802316951,4,34.094,-118.30034,21,21_1
A609545789996941778,2,34.7163,-118.15346,32,32
A612989685209290279,4,33.749802,-118.126373,2,2
A613053342012853355,7,33.86029,-118.3896,13,13
A613053914746538587,16,33.74502,-118.30923,20,20
A613057020850983141,6,34.07858,-118.38638,0,0_1
A613092283349779920,5,34.14546,-118.4375,19,19
A613095945976382724,5,33.8647127,-118.3675447,13,13
A605031479039259795,8,34.03417,-118.52557,17,17_0
A605080269676298985,1,34.16819,-118.57955,28,28
A612439483030728571,6,33.86741,-118.40373,13,13
A612459468165152994,7,33.872723,-118.136658,34,34
A612461967894419953,2,34.04297,-118.08049,22,22
A612490489947665946,4,33.99256,-118.11185,22,22
A612494593714148569,2,34.01975,-118.41451,4,4
A612522631016477558,4,33.89369,-118.07373,34,34
A612596416884853009,2,34.06751,-118.39296,0,0_1
A612696918728704758,6,34.06463,-118.02281,1,1
A612926517033524643,4,34.1911,-118.30674,7,7
A605125582496104230,4,34.08837,-118.30738,21,21_1
A605172834127950762,2,33.91993,-118.14971,34,34
A613119505695235047,1,33.993,-118.28455,27,27
A613133075358665543,4,33.98088,-118.43363,4,4
A613137667901747441,2,34.08808085297161,-118.38634434879616,0,0_0
A613151560832563480,2,34.172623,-118.37529,7,7
A613153842157531536,4,33.96672,-118.34566,25,25_1
A613292491802768504,4,33.99984,-118.2858,27,27
A613297413703679656,6,34.016,-118.36374,27,27
A613302229473928997,2,34.01015,-118.41965,4,4
A613306703931918338,6,34.704586,-118.07177,32,32
A613396713597646278,2,34.0378,-118.484726,29,29_0
A612945016116836225,6,34.05063,-118.33112,27,27
A612959216717171490,8,34.15344,-118.40209,19,19
A612972277336595893,8,34.19201,-118.55979,3,3
A615808822862117367,2,34.08657,-118.40007,0,0_0
A615836514859542836,8,34.0473,-118.18344,6,6
A615857280597392514,6,34.18053,-118.1406,31,31
A615946808313325579,4,33.97083,-118.36941,25,25_1
A616012040945157518,6,34.04882,-118.13393,22,22
A616059836412134489,8,34.04665,-118.13899,22,22
A616104151539505278,8,33.97548,-118.46073,17,17_2
A605226789578689766,2,33.89321,-118.07536,34,34
A605242936036628650,6,34.11107213722677,-118.10082247514823,22,22
A605282391466268419,4,34.08953,-118.36281,0,0_3
A605303115818442842,4,34.0915,-118.36441,0,0_0
A613410184817765914,4,33.89177,-118.14191,34,34
A613437623881629550,2,34.1368696,-118.3409367,7,7
A613571308054748225,3,34.07011,-118.38502,0,0_1
A613602323290441849,6,34.20384,-118.23506,12,12
A613660854929675321,4,34.07915496826172,-118.27278900146484,9,9_1
A613713188380322655,2,34.69508,-118.43244,32,32
A613737289334070650,6,33.77893,-118.16017,2,2
A613762763373544988,4,34.12289,-118.18197,31,31
A605309161578323242,3,34.040077209472656,-118.2577133178711,9,9_5
A605349140066733667,4,34.08206,-118.11087,22,22
A616141671175844232,2,34.0757687395043,-118.39058969729378,0,0_1
A616286138716433909,4,34.25079,-118.30466,7,7
A616295285840404411,12,34.39243,-118.48087,14,14
A616304547147683071,2,34.16889,-118.36837,7,7
A616506786697068126,6,34.248943569551365,-118.5769477577712,3,3
A616556690555957048,11,34.03057,-118.51547,17,17_0
A616581090119090084,4,34.09044,-118.36892,0,0_0
A616590127139602976,4,33.77066,-118.17291,2,2
A616613879449694233,1,34.153275,-118.437378,19,19
A605359289293258454,2,33.789639,-118.135239,2,2
A605360788786250012,2,34.08073656966613,-118.11100859990158,22,22
A605365743942600516,6,34.081257,-118.110123,22,22
A605453653878250837,2,34.0960972,-118.3282931,21,21_3
A605708491843099122,8,34.1578,-118.55336,28,28
A605757481732570770,2,34.60670461357152,-118.33584484921263,32,32
A605757547634495148,6,34.60584,-118.33528,32,32
A605768858559408320,4,34.092079,-118.280617,9,9_1
A605773458143194471,10,34.12809,-118.38206,7,7
A605779955675414118,6,34.08763,-118.32681,21,21_1
A613952589851245105,3,34.15587,-118.33667,7,7
A613979045722463647,6,34.08458,-118.31385,21,21_1
A613984014409573271,8,34.10248,-118.36419,21,21_0
A614070448830122660,8,34.18491,-118.40605,19,19
A614142438557891910,8,34.65259,-118.18696,32,32
A614363784464568350,6,34.12108,-118.36009,21,21_0
A614513841686430556,4,34.01723,-118.41159,4,4
A614556093888619953,6,34.10447,-118.28636,9,9_1
A614557783621775967,1,34.03554,-118.47388,29,29_0
A616634835121964375,2,34.10306,-118.25453,12,12
A616735457599407246,2,34.01401,-117.88145,15,15
A616735625385415285,2,34.01383,-117.88215,15,15
A616814297272283973,4,33.96374,-118.1219,34,34
A616834069254144332,2,33.78119,-118.15972,2,2
A616892613551772174,2,34.02194,-118.50811,17,17_0
A617016044412467031,6,34.18104,-118.14699,31,31
A617280982867324404,2,34.05019,-118.2482,9,9_0
A617394353559747544,2,34.02954,-118.34173,27,27
A605813159415945722,12,34.042179107666016,-118.65705871582033,16,16
A605893898074175885,3,34.08986,-118.30565,21,21_1
A617456713869896086,4,34.190579010851636,-118.40762127582023,19,19
A617460712078826330,2,34.20314,-118.33254,7,7
A617460731624055770,6,33.80617,-118.1943,2,2
A617541805709590732,3,34.1478,-118.11534,31,31
A617602791877853898,6,33.99244,-118.47305,17,17_1
A617642235466379880,5,34.10303,-117.77776,11,11
A617647128338732869,6,34.23421,-118.46025,3,3
A617659417534206875,3,34.05342,-118.44079,29,29_1
A617659468207922475,2,34.05217,-118.43913,29,29_1
A605904057581435599,4,34.20585,-118.50181,3,3
A605915223121864671,2,34.14105,-117.99934,1,1
A614563129153170538,8,33.860516,-118.399811,13,13
A614569748569120448,2,34.3889,-118.54007,23,23
A614574752915935688,4,34.04766,-117.99721,33,33
A614592710588733142,4,33.988277435302734,-118.47076416015624,17,17_1
A614666852618816954,4,34.157017703737104,-118.39969689135437,19,19
A614697678789235532,8,34.13474,-118.81577,8,8
A614750533479692881,4,33.76031,-118.1271,2,2
A614764985733222467,8,34.10326,-118.22625,12,12
A614788399611521312,4,34.08809,-118.33514,21,21_2
A605935332026144161,5,34.09122,-117.71893,11,11
A605937236031292201,6,33.98656,-118.43044,4,4
A605983293571075267,5,34.13459,-118.25742,12,12
A609566648581321908,4,33.89656,-118.41643,13,13
A614874091339793549,2,34.04150309999999,-118.2640195,9,9_5
A615042089978270792,2,34.1073,-118.32382,21,21_3
A615044863146154543,8,34.094207763671875,-118.3896484375,0,0_0
A615159915098428979,3,34.15470140197244,-118.60243763640888,28,28
A615175394830733447,10,34.11729,-118.37228,21,21_0
A615220831228978462,8,34.02754,-118.76403,30,30
A615225237490628722,6,34.07693,-118.32039,21,21_1
A615235615292252004,6,33.89649,-118.41725,13,13
A617687227132631081,2,34.0533,-118.43883,29,29_1
A617697161392342682,6,34.14384,-118.08292,31,31
A618017547031463845,2,34.20734,-118.57128,28,28
A618130892841845391,4,34.22128,-118.24149,12,12
A618139753397106898,6,34.39747,-118.56021,23,23
A618154696465333629,6,33.99704,-118.29664,27,27
A618185610593227247,4,34.14625,-118.2536,12,12
A618198897092900998,4,34.08936,-118.36976,0,0_0
A618206839295958670,6,33.98843,-118.32499,27,27
A618229969802912830,14,34.09275,-118.11799,22,22
A618974109476250385,2,33.95756,-118.38582,25,25_2
A618989000584616029,1,34.09838008207057,-118.1223372985737,22,22
A619042265372115143,5,34.14862764724779,-118.38766001697176,7,7
A615277480512468883,6,34.07814,-118.07001,1,1
A615283755696436590,4,34.05302,-118.36371,0,0_2
A615287724259541832,4,34.10349,-118.27952,9,9_1
A615304261270123966,6,34.13845,-118.38834,7,7
A615361227758098382,2,33.97187,-118.369003,25,25_1
A615363635946599879,9,34.03303,-118.33902,27,27
A615377811464405626,2,33.971855,-118.369049,25,25_1
A615425469790163901,10,33.974297,-118.460258,17,17_2
A615441899443861423,2,34.17958,-118.42838,19,19
A619111305421138557,3,34.11239,-118.15155,31,31
A619183234025957975,2,33.9353,-118.15549,34,34
A618245091600497818,8,33.75846,-118.14363,2,2
A618259411145643023,4,33.95663,-118.38463,25,25_2
A618282421377983564,4,33.94273,-118.362663,25,25_2
A618314692709268149,5,33.92514,-118.33809,25,25_0
A618322407224115723,7,34.2707,-118.51097,3,3
A618331282587033466,7,34.45016,-118.55382,23,23
A618347033492125966,5,34.01771,-118.45817,17,17_1
A618349593638116455,5,33.75625,-118.12709,2,2
A615455262487213680,1,34.0669,-118.37631,0,0_3
A615456192177743743,2,33.88606,-118.38938,13,13
A615491877054389908,8,33.815372,-118.375801,13,13
A615493684260657700,4,34.01585368980773,-118.494933239185,17,17_0
A615582013749583781,3,34.04754,-117.99929,33,33
A615622653492876948,7,34.20435,-118.51644,3,3
A615797274583100391,6,34.13366,-118.72737,8,8
A621704988162635929,3,33.92958,-118.33773,25,25_0
A621709107825172105,4,33.76743,-118.19567,2,2
A621720348643093222,4,34.09128,-118.19907,6,6
A619245884665092345,8,33.96152,-118.40615,4,4
A618520310247072320,2,33.8918,-118.14115,34,34
A618711153907592277,4,34.03078,-118.51613,17,17_0
A618745903123059822,2,33.87365,-118.40287,13,13
A618751364870180172,4,33.825408935546875,-118.38587188720705,13,13
A618756299249567430,6,34.1481554,-118.1129943,31,31
A618773814293972682,4,34.14097,-117.86489,24,24
A618801350315722277,2,33.988922119140625,-118.47032165527344,17,17_1
A618830965206826766,8,33.87911,-118.35188,13,13
A618865535116284838,4,34.150264739990234,-118.25157165527344,12,12
A619306289731066129,2,33.76860360000001,-118.1824108,2,2
A621735138444004158,4,33.9929627,-118.4325336,4,4
A621742984579271155,2,34.14827,-118.11488,31,31
A621760774558337418,2,33.99522,-117.93402,15,15
A621816913691002823,6,33.97658,-118.32292,27,27
A621995083354754880,2,33.98451,-118.47141,17,17_1
A622016152566759766,1,33.9871,-117.89892,15,15
A622066012260523964,4,34.17123,-118.60198,28,28
A622305010540820278,6,34.09449,-118.33562,21,21_2
A622346333209923777,3,34.05312,-118.33567,27,27
A622346577724893054,8,34.09585,-118.13714,22,22
A618881452128624863,2,33.821,-118.32716,20,20
A618927031192498315,2,34.227989,-118.470261,3,3
A618970967049916845,2,33.95806,-118.38561,25,25_2
A618972015002239784,2,33.95794,-118.38552,25,25_2
A618972383509661868,6,34.08897,-118.325,21,21_1
A618972666304976039,4,33.95792,-118.38559,25,25_2
A624611317465608114,4,34.109337,-118.341927,21,21_3
A624669396898372217,2,33.78681,-118.15749,2,2
A624683004490479379,4,34.17277,-118.60833,28,28
A619364758132642645,6,34.14383,-118.08317,31,31
A619419761346713657,3,34.09301,-117.98317,1,1
